li_static,li_trend,sw_static,sw_trend,fu_static,fu_trend
-7.9488,-7.9224,-8.7226,-8.7232,-4.148814538,-4.038072287
0.915,0.9319,0.2433,0.2427,-1.733400564,-1.551294418
-10.0296,-9.8901,-10.3676,-10.367,-4.649567452,-4.583950124
-6.2067,-6.1982,-6.5344,-6.5351,-2.904959474,-2.893258759
0.0678,0.0681,0.0693,0.0708,0.617111427,0.625833479
-0.032,-0.0321,-0.032,-0.0315,-0.402293809,-0.385729418
0.1001,0.1016,0.0953,0.0985,1.138544199,1.142171253
0.0648,0.0648,0.0605,0.0611,0.7059195,0.706219071
0.2894,0.29,0.2589,0.2588,0.279939108,0.279386499
0.0501,0.0493,0.0088,0.0084,0.016853489,0.010331977
-0.4558,-0.4567,-0.4461,-0.4458,-0.467238413,-0.468040825
-0.3775,-0.3777,-0.3649,-0.3658,-0.372895181,-0.373312044
0,-0.0143,0,-0.0276,0,-0.151917907
0,-0.0025,0,-0.0089,0,-0.25129412
0,-0.0674,0,-0.0605,0,-0.086543484
0,-0.0029,0,-0.0118,0,-0.014553427
